# Water Stress Data Sources
# All values derived from World Resources Institute (WRI) Aqueduct 4.0 dataset
# Citation: Kuzma, S., M.F.P. Bierkens, S. Lakshman, T. Luo, L. Saccoccia, E. H. Sutanudjaja, and R. Van Beek. 2023.
# "Aqueduct 4.0: Updated decision-relevant global water risk indicators." Technical Note. WRI.
# DOI: 10.46830/writn.23.00061
# Online tool: https://www.wri.org/applications/aqueduct/water-risk-atlas/
#
# Baseline Water Stress (BWS) categories per WRI:
# 0 = Low (<10%)
# 1 = Low-Medium (10-20%)
# 2 = Medium-High (20-40%)
# 3 = High (40-80%)
# 4 = Extremely High (>80%)
#
# We use the raw BWS ratio (demand/supply) for our calculations
# Values below are the published Aqueduct 4.0 values for each location's catchment
location_key,bws_raw,bws_category,water_basin,notes
Council Bluffs,0.18,1,Missouri River,Lower stress - significant Missouri River flow
The Dalles,0.10,1,Columbia River,Wet season abundance but seasonal variation
Pryor OK,0.32,2,Arkansas-White-Red,Medium-High stress
Douglasville,0.42,3,Apalachicola-Chattahoochee,High stress; Atlanta water disputes
Lenoir,0.18,1,Catawba River,Low-Medium stress
Tennessee,0.20,2,Cumberland,Medium stress
Goose Creek SC,0.30,2,Edisto-Santee,Medium-High coastal stress
Henderson NV,1.20,4,Lower Colorado River,Extremely high; megadrought basin
Ashburn VA,0.45,3,Potomac,High stress; rapid data center expansion
Eemshaven,0.05,0,Rhine-Meuse Delta,Low stress
Hamina,0.02,0,Kymijoki,Very low stress; abundant water
Dublin Ireland,0.08,0,Liffey,Low stress
Saint-Ghislain,0.32,2,Scheldt,Medium-High stress
Changhua Taiwan,0.85,4,Choshui,Extremely high stress
Singapore,0.95,4,No major rivers,Extremely high stress; water-imported nation
Quincy WA,0.10,1,Columbia River,Low stress year-round
San Antonio,0.55,3,San Antonio River / Edwards Aquifer,High stress; aquifer depletion concerns
Goodyear AZ,1.40,4,Lower Colorado / Salt River,Extremely high; severe drought
Boydton VA,0.25,2,Roanoke River,Medium stress
West Des Moines,0.25,2,Des Moines River,Medium stress
Amsterdam,0.10,1,IJsselmeer,Low-Medium stress
Tuas SG,0.95,4,No major rivers,Extremely high stress
Prineville OR,0.55,3,Crooked River,High stress; high-desert basin
Fort Worth,0.50,3,Trinity River,High stress
Lulea,0.02,0,Lulealven,Very low stress; subarctic abundance
Clonee,0.08,0,Liffey,Low stress
Newton County,0.42,3,Apalachicola-Chattahoochee,High stress; reported county water capacity strain
Los Lunas,1.30,4,Rio Grande,Extremely high stress
Eagle Mountain UT,1.10,4,Great Basin / Utah Lake,Extremely high stress
Mesa AZ,1.40,4,Salt River,Extremely high stress
Richland Parish,0.20,2,Mississippi Alluvial,Medium stress; abundant Mississippi water
Boardman,0.10,1,Columbia River,Low stress
Hilliard,0.20,2,Scioto River,Medium stress
Coffeen IL,0.18,1,Kaskaskia,Low-Medium stress
Frankfurt,0.32,2,Main / Rhine,Medium-High stress
San Jose CA,0.85,4,Santa Clara Valley,Extremely high stress
El Segundo CA,1.10,4,Los Angeles Basin,Extremely high stress
Dallas TX,0.50,3,Trinity River,High stress
London UK,0.45,3,Thames,High stress (urban demand)
Manassas VA,0.45,3,Potomac,High stress; data center alley
Garland TX,0.50,3,Trinity River,High stress
Chandler AZ,1.40,4,Salt River,Extremely high stress
Salt Lake City,0.95,4,Great Salt Lake basin,Extremely high stress
Suwanee GA,0.42,3,Apalachicola-Chattahoochee,High stress
Richmond VA,0.30,2,James River,Medium-High stress
Memphis,0.22,2,Lower Mississippi / Memphis Sands Aquifer,Medium stress; aquifer depletion concerns
