company,facility_id,facility_name,city,state_province,country,latitude,longitude,annual_wue_l_per_kwh,wue_source,reported_year,facility_type,notes
Google,GOOG-CBF,Council Bluffs,Council Bluffs,Iowa,USA,41.2619,-95.8608,1.4,Google 2024 Environmental Report,2023,hyperscale,Site-specific WUE disclosed
Google,GOOG-DLS,The Dalles,The Dalles,Oregon,USA,45.5946,-121.1787,2.6,Google 2024 Environmental Report,2023,hyperscale,Columbia River basin
Google,GOOG-DAL,Dalles Mid-Columbia,The Dalles,Oregon,USA,45.6113,-121.1934,2.6,Google 2024 Environmental Report,2023,hyperscale,Same basin as DLS
Google,GOOG-MCM,Mayes County,Pryor,Oklahoma,USA,36.3115,-95.3208,1.7,Google 2024 Environmental Report,2023,hyperscale,Tulsa metropolitan area
Google,GOOG-DOU,Douglas County,Douglasville,Georgia,USA,33.7515,-84.7477,1.5,Google 2024 Environmental Report,2023,hyperscale,Atlanta metropolitan area
Google,GOOG-LEN,Lenoir,Lenoir,North Carolina,USA,35.9140,-81.5390,0.7,Google 2024 Environmental Report,2023,hyperscale,Catawba River basin
Google,GOOG-MON,Montgomery County,Pryor,Tennessee,USA,36.5290,-87.3595,0.9,Google 2024 Environmental Report,2023,hyperscale,Cumberland River area
Google,GOOG-CHI,Berkeley County,Goose Creek,South Carolina,USA,33.0185,-80.0298,1.5,Google 2024 Environmental Report,2023,hyperscale,Charleston area
Google,GOOG-HEN,Henderson,Henderson,Nevada,USA,36.0395,-114.9817,0.9,Google 2024 Environmental Report,2023,hyperscale,Las Vegas metropolitan area
Google,GOOG-LOU,Loudoun County,Ashburn,Virginia,USA,39.0438,-77.4874,1.8,Google 2024 Environmental Report,2023,hyperscale,Northern Virginia data center alley
Google,GOOG-EEM,Eemshaven,Eemshaven,Groningen,Netherlands,53.4458,6.8358,0.1,Google 2024 Environmental Report,2023,hyperscale,Sea-water cooling
Google,GOOG-HAM,Hamina,Hamina,Kymenlaakso,Finland,60.5694,27.1973,0.1,Google 2024 Environmental Report,2023,hyperscale,Sea-water cooling
Google,GOOG-DUB,Dublin,Dublin,Leinster,Ireland,53.4129,-6.2438,0.1,Google 2024 Environmental Report,2023,hyperscale,
Google,GOOG-STG,St. Ghislain,Saint-Ghislain,Hainaut,Belgium,50.4595,3.8254,0.4,Google 2024 Environmental Report,2023,hyperscale,
Google,GOOG-CHL,Changhua County,Changhua,Taiwan,Taiwan,24.0517,120.5161,1.6,Google 2024 Environmental Report,2023,hyperscale,
Google,GOOG-SIN,Singapore,Jurong,Singapore,Singapore,1.3206,103.6883,1.3,Google 2024 Environmental Report,2023,hyperscale,
Microsoft,MSFT-IAW,Quincy,Quincy,Washington,USA,47.2349,-119.8527,0.49,Microsoft 2024 Sustainability Report,2023,hyperscale,Columbia River basin
Microsoft,MSFT-IAS,San Antonio,San Antonio,Texas,USA,29.4241,-98.4936,1.8,Microsoft 2024 Sustainability Report,2023,hyperscale,Edwards Aquifer area
Microsoft,MSFT-AZ,Goodyear/Phoenix,Goodyear,Arizona,USA,33.4356,-112.3576,1.2,Microsoft 2024 Sustainability Report,2023,hyperscale,Phoenix metro area
Microsoft,MSFT-VA,Boydton,Boydton,Virginia,USA,36.6671,-78.3875,0.49,Microsoft 2024 Sustainability Report,2023,hyperscale,Mecklenburg County
Microsoft,MSFT-IA,Des Moines,West Des Moines,Iowa,USA,41.5772,-93.7113,0.49,Microsoft 2024 Sustainability Report,2023,hyperscale,Iowa data center hub
Microsoft,MSFT-IRL,Dublin,Dublin,Leinster,Ireland,53.4129,-6.2438,0.49,Microsoft 2024 Sustainability Report,2023,hyperscale,
Microsoft,MSFT-NLD,Amsterdam,Amsterdam,North Holland,Netherlands,52.3676,4.9041,0.49,Microsoft 2024 Sustainability Report,2023,hyperscale,
Microsoft,MSFT-SGP,Singapore,Tuas,Singapore,Singapore,1.3147,103.6385,1.8,Microsoft 2024 Sustainability Report,2023,hyperscale,
Meta,META-PRN,Prineville,Prineville,Oregon,USA,44.2998,-120.8338,0.26,Meta 2024 Sustainability Report,2023,hyperscale,High desert location
Meta,META-FOR,Fort Worth,Fort Worth,Texas,USA,32.7555,-97.3308,0.26,Meta 2024 Sustainability Report,2023,hyperscale,
Meta,META-LUL,Lulea,Lulea,Norrbotten,Sweden,65.5848,22.1547,0.26,Meta 2024 Sustainability Report,2023,hyperscale,Subarctic free cooling
Meta,META-CLO,Clonee,Clonee,Leinster,Ireland,53.4072,-6.4364,0.26,Meta 2024 Sustainability Report,2023,hyperscale,
Meta,META-NEW,Newton County,Newton County,Georgia,USA,33.5615,-83.8493,0.26,Meta 2024 Sustainability Report,2023,hyperscale,Reported strain on local water authority
Meta,META-LAC,Los Lunas,Los Lunas,New Mexico,USA,34.8088,-106.7333,0.26,Meta 2024 Sustainability Report,2023,hyperscale,Rio Grande basin
Meta,META-EAG,Eagle Mountain,Eagle Mountain,Utah,USA,40.3144,-112.0064,0.26,Meta 2024 Sustainability Report,2023,hyperscale,Utah Lake basin
Meta,META-MES,Mesa,Mesa,Arizona,USA,33.4152,-111.8315,0.26,Meta 2024 Sustainability Report,2023,hyperscale,Phoenix metro area
Meta,META-RIC,Richland Parish,Richland Parish,Louisiana,USA,32.4049,-91.6637,0.26,Amazon 2024 Sustainability Report,2024,hyperscale,Major Louisiana AI buildout
Amazon,AMZN-IA,Boardman,Boardman,Oregon,USA,45.8398,-119.7008,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,Columbia River basin
Amazon,AMZN-VA,Loudoun County,Ashburn,Virginia,USA,39.0438,-77.4874,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,Northern Virginia data center alley
Amazon,AMZN-CA,Loudoun (CMH),Hilliard,Ohio,USA,40.0334,-83.1597,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,
Amazon,AMZN-TX,Coffeen,Coffeen,Illinois,USA,39.0892,-89.3956,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,
Amazon,AMZN-IRL,Dublin,Dublin,Leinster,Ireland,53.4129,-6.2438,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,
Amazon,AMZN-FRA,Frankfurt,Frankfurt am Main,Hesse,Germany,50.1109,8.6821,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,
Amazon,AMZN-SGP,Singapore,Singapore,Singapore,Singapore,1.3521,103.8198,0.18,Amazon 2024 Sustainability Report,2023,hyperscale,
Equinix,EQIX-DC1,Ashburn (DC1-15),Ashburn,Virginia,USA,39.0438,-77.4874,1.07,Equinix 2024 Sustainability Report,2023,colocation,Multiple Ashburn campus
Equinix,EQIX-SV,Silicon Valley (SV1-10),San Jose,California,USA,37.3382,-121.8863,1.07,Equinix 2024 Sustainability Report,2023,colocation,
Equinix,EQIX-LA,Los Angeles (LA1-5),El Segundo,California,USA,33.9192,-118.4165,1.07,Equinix 2024 Sustainability Report,2023,colocation,
Equinix,EQIX-DA,Dallas (DA1-11),Dallas,Texas,USA,32.7767,-96.7970,1.07,Equinix 2024 Sustainability Report,2023,colocation,
Equinix,EQIX-LD,London (LD1-10),London,England,UK,51.5074,-0.1278,1.07,Equinix 2024 Sustainability Report,2023,colocation,
Equinix,EQIX-SG,Singapore (SG1-5),Singapore,Singapore,Singapore,1.3521,103.8198,1.07,Equinix 2024 Sustainability Report,2023,colocation,
DigitalRealty,DRT-IAD,Northern Virginia (IAD),Manassas,Virginia,USA,38.7509,-77.4753,1.32,Digital Realty 2024 Impact Report,2023,colocation,
DigitalRealty,DRT-DAL,Dallas (DAL),Garland,Texas,USA,32.9126,-96.6389,1.32,Digital Realty 2024 Impact Report,2023,colocation,
DigitalRealty,DRT-PHX,Phoenix (PHX),Chandler,Arizona,USA,33.3062,-111.8413,1.32,Digital Realty 2024 Impact Report,2023,colocation,Severely water-stressed
DigitalRealty,DRT-SLC,Salt Lake City (SLC),Salt Lake City,Utah,USA,40.7608,-111.8910,1.32,Digital Realty 2024 Impact Report,2023,colocation,
QTS,QTS-ATL,Atlanta-Suwanee,Suwanee,Georgia,USA,34.0515,-84.0713,1.45,QTS 2024 Sustainability Report,2023,colocation,
QTS,QTS-RIC,Richmond,Richmond,Virginia,USA,37.5407,-77.4360,1.45,QTS 2024 Sustainability Report,2023,colocation,
xAI,XAI-MEM,Memphis Colossus,Memphis,Tennessee,USA,35.1495,-90.0490,1.5,Press release / news estimate,2024,hyperscale,Estimated WUE - limited disclosure
